Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
4/10/2026,27.7,27.9585,25.9702,25.8226,905766
4/9/2026,27.76,28.0065,25.8116,26.274,685908
4/8/2026,28.46,27.9405,25.5393,26.689,911759
4/7/2026,30.83,27.8635,23.8417,26.6758,1193249
4/6/2026,28.76,27.6755,23.9028,26.6764,969621
4/2/2026,28.33,27.715,23.5356,26.6693,705898
4/1/2026,28.92,27.6805,23.6543,26.7366,584945
3/31/2026,28.91,27.5625,22.8872,27.2033,633130
3/30/2026,31.11,27.48,23.1577,26.7128,741093
3/27/2026,30.66,27.2355,23.5213,26.6162,1110510
3/26/2026,27.96,27.0295,22.9549,26.5814,885652
3/25/2026,26.36,26.8175,22.7011,27.0576,563696
3/24/2026,26.5,26.694,22.7978,26.7166,513247
3/23/2026,25.69,26.618,21.6622,26.6499,823619
3/20/2026,27.56,26.59,23.0811,26.6876,865479
3/19/2026,26.19,26.448,22.9958,26.6722,691524
3/18/2026,27.31,26.4425,22.8007,27.1712,645154
3/17/2026,24.37,26.335,24.644,26.7136,449968
3/16/2026,25.92,26.4095,25.6946,26.8583,622322
3/13/2026,29.87,26.5235,28.7448,26.8157,802710
3/12/2026,28.66,26.4215,28.8725,26.9029,775657
3/11/2026,26.44,26.1385,28.9046,27.6762,502204
3/10/2026,26.92,25.942,28.8264,27.2331,598471
3/9/2026,27.07,25.7465,28.5801,27.2278,660529
3/6/2026,29.55,25.5715,28.577,27.3498,899282
3/5/2026,27.64,25.417,28.9936,27.3437,1019397
3/4/2026,26.56,25.257,29.0072,27.8291,785373
3/3/2026,27.26,25.0905,31.1959,27.447,637053
3/2/2026,26.22,24.8255,31.3056,27.4132,752726
2/27/2026,26.54,24.762,30.8227,27.3418,1135158
2/26/2026,23.72,24.9855,30.984,27.3587,621665
2/25/2026,23.89,25.2195,31.2026,27.8075,842382
2/24/2026,24.98,25.4005,31.0544,27.3277,967728
2/23/2026,25.13,25.5765,32.3609,27.3083,1070666
2/20/2026,24.72,25.7725,31.467,27.2002,1080165
2/19/2026,26.08,25.9615,31.3848,27.199,638421
2/18/2026,25.16,26.1125,32.427,27.6566,737511
2/17/2026,25.86,26.3925,30.1115,27.0875,1126180
2/13/2026,28.2,26.4405,29.2553,27.0777,1257018
2/12/2026,27.83,26.362,25.4069,26.6747,1562255
2/11/2026,23,26.316,26.2814,27.1401,1248675
2/10/2026,22.51,26.497,25.5805,26.7471,427410
2/9/2026,23.01,26.713,25.844,26.7309,1105052
2/6/2026,23.57,26.885,25.9806,26.7768,1484386
2/5/2026,26.46,27.07,26.6372,26.8452,976709
2/4/2026,24.44,27.0625,26.3021,27.3983,1970483
2/3/2026,23.23,27.0945,25.7019,27.0831,1043850
2/2/2026,21.96,27.113,22.537,26.8539,1699773
1/30/2026,24.95,27.185,22.537,26.8451,1953084
1/29/2026,31.01,27.0495,22.537,26.9519,1005130
1/28/2026,28.4,26.555,22.537,27.728,462564
1/27/2026,27.51,26.1665,21.6687,26.9712,766810
1/26/2026,28.5,25.7255,20.4582,26.9197,910395
1/23/2026,29.05,25.1885,19.9507,26.917,905042
1/22/2026,28.5,24.62,19.8818,27.0832,678674
1/21/2026,29.1,24.1115,19.1737,27.798,877608
1/20/2026,30.76,23.5995,17.5741,27.2858,1034223
1/16/2026,26.82,23.0585,17.762,27.3007,937752
1/15/2026,26.63,22.7315,17.7398,27.2976,1079677
1/14/2026,26.91,22.364,18.538,28.0727,756339
1/13/2026,26.62,21.9915,18.3996,27.4378,638770
1/12/2026,26.83,21.6365,18.8691,27.4339,810215
1/9/2026,26.45,21.25,18.5815,27.4279,1227307
1/8/2026,27.27,20.8975,17.9003,27.3957,1343589
